表210-06101：勞動人口、就業人口、失業人口及就業不足人口的統計數字,,,,,,,,
 ,,,,,,,,
 , ,失業人數 (1),失業人數 (1),失業人數 (1),失業率 (2),失業率 (2),失業率 (2),失業率 (經季節性調整) (3)
,,千人,千人,千人,(%),(%),(%),(%)
性別,,男性,女性,男女合計,男性,女性,男女合計,男女合計
年,,,,,,,,
2018,,64.1,48.0,112.1,3.2,2.4,2.8,N.A.
2019,,70.4,45.9,116.3,3.5,2.3,2.9,N.A.
2020,,134.5,93.1,227.6,6.9,4.7,5.8,N.A.
2021,,118.0,82.2,200.3,6.1,4.2,5.2,N.A.
2022,,96.5,66.6,163.1,5.1,3.5,4.3,N.A.
2023,,66.3,46.4,112.7,3.5,2.4,2.9,N.A.
 ,,,,,,,,
註釋：,,,,,,,,
人數進位至最接近的百位數。由於統計表內數字經四捨五入，分項總和未必與總數相等。由於抽樣誤差較大，年度數字少於1 000及季度數字少於3 000的估計，須謹慎闡釋。1996年4月至6月以前並沒有以「居住人口」方法計算的統計數字。由2001年開始，年度數字是根據該年1月至12月進行的「綜合住戶統計調查」結果，以及年中人口估計數字而編製，可被視為反映全年的整體情況。 ,,,,,,,,
1 失業人士是指所有符合下列條件的15歲及以上人士：(a)在統計前7天內並無職位，且並無為賺取薪酬或利潤而工作；(b)在統計前7天內隨時可工作；以及(c)在統計前30天內有找尋工作。不過，一名15歲或以上的人士，如果符合上述(a)和(b)的條件，但沒有在統計前30天內找尋工作的原因為相信沒有工作可做，則仍會被界定為失業，即所謂「因灰心而不求職的人士」。除上述情況外，下列人士亦視作失業人士：(a)並無職位，有找尋工作，但由於暫時生病而不能工作的人士；以及(b)並無職位，且隨時可工作，但由於下列原因並無找尋工作的人士：(i)已為於稍後時間擔當的新工作或開展的業務作出安排；或(ii)正期待返回原來的工作崗位。按以前從事的行業／職業劃分的曾工作失業人數並不包括首次求職及重新加入勞動人口的失業人士，因為沒有關於他們以前從事行業／職業的資料。,,,,,,,,
2 失業率是指失業人士在勞動人口中所佔的比例。,,,,,,,,
3 經季節性調整的失業率 (seasonally adjusted unemployment rate) 是指計算失業率時，已就其季節性差異作出調整。自2008年5月開始，編製經季節性調整失業率的方法由過往「X-11自迴歸－求和－移動平均 (X-11 ARIMA)」方法更改為「X-12自迴歸－求和－移動平均 (X-12 ARIMA)」方法。自2006年11月至2007年1月期間開始的經季節性調整失業率數字亦已按這個新方法作出修訂。2006年11月至2007年1月前的數字是指根據「X-11自迴歸－求和－移動平均」方法編製的經季節性調整失業率。季節性調整不適用於全年平均失業率。,,,,,,,,
N.A. 沒有數字,,,,,,,,
 ,,,,,,,,
資料來源：,,,,,,,,
政府統計處綜合住戶統計調查組（三）(查詢電話：2887 5508 查詢電郵：ghs@censtatd.gov.hk),,,,,,,,
 ,,,,,,,,
發布日期：2025年3月18日,,,,,,,,
