STAT_VAR,STAT_PRES,GDP_COMPONENT,CCYY,Q,OBS_VALUE,SD_VALUE
CON,YoY_1dp_%_s,,2018,,2.8,
CON,YoY_1dp_%_s,,2019,,-1.7,
CON,YoY_1dp_%_s,,2020,,-6.5,
CON,YoY_1dp_%_s,,2021,,6.5,
CON,YoY_1dp_%_s,,2022,,-3.7,
CON,YoY_1dp_%_s,,2023,,3.2,104
CON,YoY_1dp_%_s,,2024,,2.5,104
CON,YoY_1dp_%_s,,2018,1,4.5,
CON,YoY_1dp_%_s,,2018,2,3.3,
CON,YoY_1dp_%_s,,2018,3,2.6,
CON,YoY_1dp_%_s,,2018,4,1.1,
CON,YoY_1dp_%_s,,2019,1,0.3,
CON,YoY_1dp_%_s,,2019,2,0.1,
CON,YoY_1dp_%_s,,2019,3,-3.2,
CON,YoY_1dp_%_s,,2019,4,-3.6,
CON,YoY_1dp_%_s,,2020,1,-9.4,
CON,YoY_1dp_%_s,,2020,2,-9.4,
CON,YoY_1dp_%_s,,2020,3,-4.0,
CON,YoY_1dp_%_s,,2020,4,-3.5,
CON,YoY_1dp_%_s,,2021,1,8.2,
CON,YoY_1dp_%_s,,2021,2,7.6,
CON,YoY_1dp_%_s,,2021,3,5.6,
CON,YoY_1dp_%_s,,2021,4,4.7,
CON,YoY_1dp_%_s,,2022,1,-4.0,
CON,YoY_1dp_%_s,,2022,2,-1.5,
CON,YoY_1dp_%_s,,2022,3,-4.9,
CON,YoY_1dp_%_s,,2022,4,-4.3,
CON,YoY_1dp_%_s,,2023,1,2.7,104
CON,YoY_1dp_%_s,,2023,2,1.6,104
CON,YoY_1dp_%_s,,2023,3,4.2,104
CON,YoY_1dp_%_s,,2023,4,4.3,104
CON,YoY_1dp_%_s,,2024,1,2.8,104
CON,YoY_1dp_%_s,,2024,2,3.1,104
CON,YoY_1dp_%_s,,2024,3,1.9,104
CON,YoY_1dp_%_s,,2024,4,2.4,104
CON,YoY_1dp_%_s,PCE,2018,,5.3,
CON,YoY_1dp_%_s,PCE,2019,,-0.8,
CON,YoY_1dp_%_s,PCE,2020,,-10.6,
CON,YoY_1dp_%_s,PCE,2021,,5.6,
CON,YoY_1dp_%_s,PCE,2022,,-2.2,
CON,YoY_1dp_%_s,PCE,2023,,6.8,104
CON,YoY_1dp_%_s,PCE,2024,,-0.6,104
CON,YoY_1dp_%_s,PCE,2018,1,8.7,
CON,YoY_1dp_%_s,PCE,2018,2,5.7,
CON,YoY_1dp_%_s,PCE,2018,3,4.5,
CON,YoY_1dp_%_s,PCE,2018,4,2.5,
CON,YoY_1dp_%_s,PCE,2019,1,0.9,
CON,YoY_1dp_%_s,PCE,2019,2,1.6,
CON,YoY_1dp_%_s,PCE,2019,3,-3.0,
CON,YoY_1dp_%_s,PCE,2019,4,-2.7,
CON,YoY_1dp_%_s,PCE,2020,1,-11.5,
CON,YoY_1dp_%_s,PCE,2020,2,-14.5,
CON,YoY_1dp_%_s,PCE,2020,3,-8.8,
CON,YoY_1dp_%_s,PCE,2020,4,-7.5,
CON,YoY_1dp_%_s,PCE,2021,1,2.4,
CON,YoY_1dp_%_s,PCE,2021,2,7.5,
CON,YoY_1dp_%_s,PCE,2021,3,6.8,
CON,YoY_1dp_%_s,PCE,2021,4,5.7,
CON,YoY_1dp_%_s,PCE,2022,1,-6.9,
CON,YoY_1dp_%_s,PCE,2022,2,-1.1,
CON,YoY_1dp_%_s,PCE,2022,3,-1.5,
CON,YoY_1dp_%_s,PCE,2022,4,0.3,
CON,YoY_1dp_%_s,PCE,2023,1,12.2,104
CON,YoY_1dp_%_s,PCE,2023,2,7.6,104
CON,YoY_1dp_%_s,PCE,2023,3,5.8,104
CON,YoY_1dp_%_s,PCE,2023,4,2.5,104
CON,YoY_1dp_%_s,PCE,2024,1,1.0,104
CON,YoY_1dp_%_s,PCE,2024,2,-1.7,104
CON,YoY_1dp_%_s,PCE,2024,3,-1.3,104
CON,YoY_1dp_%_s,PCE,2024,4,-0.2,104
CON,YoY_1dp_%_s,GCE,2018,,4.2,
CON,YoY_1dp_%_s,GCE,2019,,5.1,
CON,YoY_1dp_%_s,GCE,2020,,7.9,
CON,YoY_1dp_%_s,GCE,2021,,5.9,
CON,YoY_1dp_%_s,GCE,2022,,8.0,
CON,YoY_1dp_%_s,GCE,2023,,-3.9,104
CON,YoY_1dp_%_s,GCE,2024,,1.0,104
CON,YoY_1dp_%_s,GCE,2018,1,4.1,
CON,YoY_1dp_%_s,GCE,2018,2,4.5,
CON,YoY_1dp_%_s,GCE,2018,3,3.3,
CON,YoY_1dp_%_s,GCE,2018,4,5.1,
CON,YoY_1dp_%_s,GCE,2019,1,4.5,
CON,YoY_1dp_%_s,GCE,2019,2,3.8,
CON,YoY_1dp_%_s,GCE,2019,3,6.4,
CON,YoY_1dp_%_s,GCE,2019,4,5.6,
CON,YoY_1dp_%_s,GCE,2020,1,9.4,
CON,YoY_1dp_%_s,GCE,2020,2,9.9,
CON,YoY_1dp_%_s,GCE,2020,3,6.8,
CON,YoY_1dp_%_s,GCE,2020,4,5.6,
CON,YoY_1dp_%_s,GCE,2021,1,8.1,
CON,YoY_1dp_%_s,GCE,2021,2,4.2,
CON,YoY_1dp_%_s,GCE,2021,3,6.7,
CON,YoY_1dp_%_s,GCE,2021,4,4.4,
CON,YoY_1dp_%_s,GCE,2022,1,6.0,
CON,YoY_1dp_%_s,GCE,2022,2,12.3,
CON,YoY_1dp_%_s,GCE,2022,3,5.1,
CON,YoY_1dp_%_s,GCE,2022,4,8.8,
CON,YoY_1dp_%_s,GCE,2023,1,1.1,104
CON,YoY_1dp_%_s,GCE,2023,2,-8.9,104
CON,YoY_1dp_%_s,GCE,2023,3,-3.4,104
CON,YoY_1dp_%_s,GCE,2023,4,-4.7,104
CON,YoY_1dp_%_s,GCE,2024,1,-1.5,104
CON,YoY_1dp_%_s,GCE,2024,2,2.0,104
CON,YoY_1dp_%_s,GCE,2024,3,1.7,104
CON,YoY_1dp_%_s,GCE,2024,4,2.0,104
CON,YoY_1dp_%_s,GDFCF,2018,,1.7,
CON,YoY_1dp_%_s,GDFCF,2019,,-14.9,
CON,YoY_1dp_%_s,GDFCF,2020,,-11.1,
CON,YoY_1dp_%_s,GDFCF,2021,,8.3,
CON,YoY_1dp_%_s,GDFCF,2022,,-7.4,
CON,YoY_1dp_%_s,GDFCF,2023,,11.4,104
CON,YoY_1dp_%_s,GDFCF,2024,,2.4,104
CON,YoY_1dp_%_s,GDFCF,2018,1,4.8,
CON,YoY_1dp_%_s,GDFCF,2018,2,1.4,
CON,YoY_1dp_%_s,GDFCF,2018,3,8.1,
CON,YoY_1dp_%_s,GDFCF,2018,4,-6.2,
CON,YoY_1dp_%_s,GDFCF,2019,1,-7.7,
CON,YoY_1dp_%_s,GDFCF,2019,2,-14.2,
CON,YoY_1dp_%_s,GDFCF,2019,3,-17.7,
CON,YoY_1dp_%_s,GDFCF,2019,4,-19.6,
CON,YoY_1dp_%_s,GDFCF,2020,1,-15.8,
CON,YoY_1dp_%_s,GDFCF,2020,2,-21.1,
CON,YoY_1dp_%_s,GDFCF,2020,3,-9.3,
CON,YoY_1dp_%_s,GDFCF,2020,4,2.5,
CON,YoY_1dp_%_s,GDFCF,2021,1,5.0,
CON,YoY_1dp_%_s,GDFCF,2021,2,21.7,
CON,YoY_1dp_%_s,GDFCF,2021,3,11.2,
CON,YoY_1dp_%_s,GDFCF,2021,4,-2.2,
CON,YoY_1dp_%_s,GDFCF,2022,1,-6.8,
CON,YoY_1dp_%_s,GDFCF,2022,2,0.6,
CON,YoY_1dp_%_s,GDFCF,2022,3,-14.8,
CON,YoY_1dp_%_s,GDFCF,2022,4,-8.5,
CON,YoY_1dp_%_s,GDFCF,2023,1,9.2,104
CON,YoY_1dp_%_s,GDFCF,2023,2,-1.0,104
CON,YoY_1dp_%_s,GDFCF,2023,3,21.9,104
CON,YoY_1dp_%_s,GDFCF,2023,4,17.2,104
CON,YoY_1dp_%_s,GDFCF,2024,1,0.4,104
CON,YoY_1dp_%_s,GDFCF,2024,2,4.4,104
CON,YoY_1dp_%_s,GDFCF,2024,3,5.7,104
CON,YoY_1dp_%_s,GDFCF,2024,4,-0.9,104
CON,YoY_1dp_%_s,XG,2018,,3.5,
CON,YoY_1dp_%_s,XG,2019,,-5.5,
CON,YoY_1dp_%_s,XG,2020,,-1.4,
CON,YoY_1dp_%_s,XG,2021,,18.7,
CON,YoY_1dp_%_s,XG,2022,,-14.0,
CON,YoY_1dp_%_s,XG,2023,,-10.0,104
CON,YoY_1dp_%_s,XG,2024,,4.7,104
CON,YoY_1dp_%_s,XG,2018,1,4.9,
CON,YoY_1dp_%_s,XG,2018,2,4.5,
CON,YoY_1dp_%_s,XG,2018,3,5.0,
CON,YoY_1dp_%_s,XG,2018,4,-0.2,
CON,YoY_1dp_%_s,XG,2019,1,-4.6,
CON,YoY_1dp_%_s,XG,2019,2,-6.2,
CON,YoY_1dp_%_s,XG,2019,3,-7.7,
CON,YoY_1dp_%_s,XG,2019,4,-3.3,
