STAT_VAR,STAT_PRES,REV_TYPE,FFYY,OBS_VALUE,SD_VALUE
GOV_REV,Raw_M_hkd_d,1112,2018,166620,
GOV_REV,Raw_M_hkd_d,1112,2019,155900,
GOV_REV,Raw_M_hkd_d,1112,2020,135540,
GOV_REV,Raw_M_hkd_d,1112,2021,167336,
GOV_REV,Raw_M_hkd_d,1112,2022,174212,
GOV_REV,Raw_M_hkd_d,1112,2023,170498,
GOV_REV,Raw_M_hkd_d,1,2018,454416,
GOV_REV,Raw_M_hkd_d,1,2019,433854,
GOV_REV,Raw_M_hkd_d,1,2020,459305,
GOV_REV,Raw_M_hkd_d,1,2021,528366,
GOV_REV,Raw_M_hkd_d,1,2022,513372,
GOV_REV,Raw_M_hkd_d,1,2023,508254,
GOV_REV,Raw_M_hkd_d,,2018,599774,
GOV_REV,Raw_M_hkd_d,,2019,590926,
GOV_REV,Raw_M_hkd_d,,2020,564230,
GOV_REV,Raw_M_hkd_d,,2021,693576,
GOV_REV,Raw_M_hkd_d,,2022,622147,
GOV_REV,Raw_M_hkd_d,,2023,549406,
