表410-50001：對外商品貿易總計數字,,,,,,,
 ,,,,,,,
 , ,進口,整體出口,進口,整體出口,貿易總額,商品貿易差額
,,百萬港元,百萬港元,按年變動百分率,按年變動百分率,百萬港元,百萬港元
年,,,,,,,
2018,,4721399,4158106,8.4,7.3,8879505,-563292
2019,,4415440,3988685,-6.5,-4.1,8404126,-426755
2020,,4269752,3927517,-3.3,-1.5,8197270,-342235
2021,,5307792,4960656,24.3,26.3,10268448,-347136
2022,,4927467,4531650,-7.2,-8.6,9459117,-395818
 ,,,,,,,
註釋：,,,,,,,
香港的對外商品貿易統計是根據進出口報關單上的資料編製。《中華人民共和國香港特別行政區基本法》說明，香港特別行政區為單獨的關稅地區。香港與中國內地之間的貿易，亦須辦理進出口報關。有關的統計資料包括在香港的對外商品貿易統計數字內。,,,,,,,
進口貨值是以到岸價值 (value c.i.f.) 計算，整體出口貨值則以離岸價值 (value f.o.b.) 計算。,,,,,,,
由於涉及某年較早月份的有關調整，只會納入同年的累積總數。因此，個別月份數字的總和與累積總數未必相同。,,,,,,,
 ,,,,,,,
資料來源：,,,,,,,
政府統計處貿易資料分析組(查詢電話：2582 4915 查詢電郵：trade@censtatd.gov.hk),,,,,,,
 ,,,,,,,
發布日期：2025年3月25日,,,,,,,
